"","DayPlaceID","nRing","nHour","nrmse","Biotype","TempCond","BiotypeID","TempCondID","BioTempID"
"1",1,1,1,20.3366084466755,"Forest","Warm",1,1,1
"2",1,1,2,13.7980511924893,"Forest","Warm",1,1,1
"3",1,1,3,11.1372603142496,"Forest","Warm",1,1,1
"4",1,1,4,9.49678656101222,"Forest","Warm",1,1,1
"5",1,1,5,8.39307339850023,"Forest","Warm",1,1,1
"6",1,1,6,7.59349000286903,"Forest","Warm",1,1,1
"7",1,1,7,6.93749931413973,"Forest","Warm",1,1,1
"8",1,1,8,6.41012828167854,"Forest","Warm",1,1,1
"9",1,1,9,5.97267363803413,"Forest","Warm",1,1,1
"10",1,1,10,5.60121137820308,"Forest","Warm",1,1,1
"11",1,1,11,5.26612186918513,"Forest","Warm",1,1,1
"12",1,1,12,4.99752917825073,"Forest","Warm",1,1,1
"13",1,1,13,4.73957149767273,"Forest","Warm",1,1,1
"14",1,1,14,4.48883149540695,"Forest","Warm",1,1,1
"15",1,1,15,4.27535901540805,"Forest","Warm",1,1,1
"16",1,1,16,4.08449752052759,"Forest","Warm",1,1,1
"17",1,1,17,3.89942921925356,"Forest","Warm",1,1,1
"18",1,1,18,3.71962028573306,"Forest","Warm",1,1,1
"19",1,1,19,3.56420120711023,"Forest","Warm",1,1,1
"20",1,1,20,3.41259458595838,"Forest","Warm",1,1,1
"21",1,1,21,3.25890907053122,"Forest","Warm",1,1,1
"22",1,1,22,3.11984149016493,"Forest","Warm",1,1,1
"23",1,1,23,2.98224136247069,"Forest","Warm",1,1,1
"24",1,1,24,2.84835064834195,"Forest","Warm",1,1,1
"25",1,5,1,15.7559709843551,"Forest","Warm",1,1,1
"26",1,5,2,10.1242511416349,"Forest","Warm",1,1,1
"27",1,5,3,8.10808657164251,"Forest","Warm",1,1,1
"28",1,5,4,6.82123163794968,"Forest","Warm",1,1,1
"29",1,5,5,5.96628992265697,"Forest","Warm",1,1,1
"30",1,5,6,5.36464080966942,"Forest","Warm",1,1,1
"31",1,5,7,4.85044455136101,"Forest","Warm",1,1,1
"32",1,5,8,4.43231143063978,"Forest","Warm",1,1,1
"33",1,5,9,4.08969454399665,"Forest","Warm",1,1,1
"34",1,5,10,3.7896911958705,"Forest","Warm",1,1,1
"35",1,5,11,3.518022836383,"Forest","Warm",1,1,1
"36",1,5,12,3.31143035724708,"Forest","Warm",1,1,1
"37",1,5,13,3.10258718715632,"Forest","Warm",1,1,1
"38",1,5,14,2.87894385801936,"Forest","Warm",1,1,1
"39",1,5,15,2.69841873767209,"Forest","Warm",1,1,1
"40",1,5,16,2.53716980298114,"Forest","Warm",1,1,1
"41",1,5,17,2.3733075184944,"Forest","Warm",1,1,1
"42",1,5,18,2.20407532201111,"Forest","Warm",1,1,1
"43",1,5,19,2.06468207157323,"Forest","Warm",1,1,1
"44",1,5,20,1.92003186591709,"Forest","Warm",1,1,1
"45",1,5,21,1.76101204065519,"Forest","Warm",1,1,1
"46",1,5,22,1.61595363146786,"Forest","Warm",1,1,1
"47",1,5,23,1.4583877364612,"Forest","Warm",1,1,1
"48",1,5,24,1.27955566984802,"Forest","Warm",1,1,1
"49",1,10,1,12.8125073156251,"Forest","Warm",1,1,1
"50",1,10,2,9.46990662769067,"Forest","Warm",1,1,1
